zone_id,zone_name,zone_type,states,districts,lat_min,lat_max,lon_min,lon_max,season,dominant_crops,suitable_crops_high,suitable_crops_med,suitable_crops_low,typical_soils,rainfall_band,temp_band,key_risks,notes,source_name,source_ref,data_quality
AGROCLIM_ASSAM_RABI,Assam rabi memory zone,AGROCLIM_CURATED,Assam,Bajali|Baksa|Barpeta|Biswanath|Bongaigaon|Cachar|Charaideo|Chirang|Darrang|Dhemaji|Dhubri|Dibrugarh|Dima Hasao|Goalpara|Golaghat|Hailakandi|Hojai|Jorhat|Kamrup|Kamrup Metro|Karbi Anglong|Kokrajhar|Lakhimpur|Majuli|Marigaon|Nagaon|Nalbari|Sivasagar|Sonitpur|South Salmara Mancachar|Sribhumi|Tamulpur|Tinsukia|Udalguri|West Karbi Anglong,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ASSAM_ZAID,Assam zaid memory zone,AGROCLIM_CURATED,Assam,Bajali|Baksa|Barpeta|Biswanath|Bongaigaon|Cachar|Charaideo|Chirang|Darrang|Dhemaji|Dhubri|Dibrugarh|Dima Hasao|Goalpara|Golaghat|Hailakandi|Hojai|Jorhat|Kamrup|Kamrup Metro|Karbi Anglong|Kokrajhar|Lakhimpur|Majuli|Marigaon|Nagaon|Nalbari|Sivasagar|Sonitpur|South Salmara Mancachar|Sribhumi|Tamulpur|Tinsukia|Udalguri|West Karbi Anglong,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_BIHAR_KHARIF,Bihar kharif memory zone,AGROCLIM_CURATED,Bihar,Araria|Arwal|Aurangabad|Banka|Begusarai|Bhagalpur|Bhojpur|Buxar|Darbhanga|Gaya|Gopalganj|Jamui|Jehanabad|Kaimur (Bhabua)|Katihar|Khagaria|Kishanganj|Lakhisarai|Madhepura|Madhubani|Munger|Muzaffarpur|Nalanda|Nawada|Pashchim Champaran|Patna|Purbi Champaran|Purnia|Rohtas|Saharsa|Samastipur|Saran|Sheikhpura|Sheohar|Sitamarhi|Siwan|Supaul|Vaishali,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_BIHAR_RABI,Bihar rabi memory zone,AGROCLIM_CURATED,Bihar,Araria|Arwal|Aurangabad|Banka|Begusarai|Bhagalpur|Bhojpur|Buxar|Darbhanga|Gaya|Gopalganj|Jamui|Jehanabad|Kaimur (Bhabua)|Katihar|Khagaria|Kishanganj|Lakhisarai|Madhepura|Madhubani|Munger|Muzaffarpur|Nalanda|Nawada|Pashchim Champaran|Patna|Purbi Champaran|Purnia|Rohtas|Saharsa|Samastipur|Saran|Sheikhpura|Sheohar|Sitamarhi|Siwan|Supaul|Vaishali,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_BIHAR_ZAID,Bihar zaid memory zone,AGROCLIM_CURATED,Bihar,Araria|Arwal|Aurangabad|Banka|Begusarai|Bhagalpur|Bhojpur|Buxar|Darbhanga|Gaya|Gopalganj|Jamui|Jehanabad|Kaimur (Bhabua)|Katihar|Khagaria|Kishanganj|Lakhisarai|Madhepura|Madhubani|Munger|Muzaffarpur|Nalanda|Nawada|Pashchim Champaran|Patna|Purbi Champaran|Purnia|Rohtas|Saharsa|Samastipur|Saran|Sheikhpura|Sheohar|Sitamarhi|Siwan|Supaul|Vaishali,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_CHANDIGARH_KHARIF,Chandigarh kharif memory zone,AGROCLIM_CURATED,Chandigarh,Chandigarh,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_CHANDIGARH_RABI,Chandigarh rabi memory zone,AGROCLIM_CURATED,Chandigarh,Chandigarh,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_CHANDIGARH_ZAID,Chandigarh zaid memory zone,AGROCLIM_CURATED,Chandigarh,Chandigarh,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_CHHATTISGARH_KHARIF,Chhattisgarh kharif memory zone,AGROCLIM_CURATED,Chhattisgarh,Balod|Balodabazar-Bhatapara|Balrampur-Ramanujganj|Bastar|Bemetara|Bijapur|Bilaspur|Dakshin Bastar Dantewada|Dhamtari|Durg|Gariyaband|Gaurela-Pendra-Marwahi|Janjgir-Champa|Jashpur|Kabeerdham|Khairagarh-Chhuikhadan-Gandai|Kondagaon|Korba|Korea|Mahasamund|Manendragarh-Chirmiri-Bharatpur(M C B)|Mohla-Manpur-Ambagarh Chouki|Mungeli|Narayanpur|Raigarh|Raipur|Rajnandgaon|Sakti|Sarangarh-Bilaigarh|Sukma|Surajpur|Surguja|Uttar Bastar Kanker,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_CHHATTISGARH_RABI,Chhattisgarh rabi memory zone,AGROCLIM_CURATED,Chhattisgarh,Balod|Balodabazar-Bhatapara|Balrampur-Ramanujganj|Bastar|Bemetara|Bijapur|Bilaspur|Dakshin Bastar Dantewada|Dhamtari|Durg|Gariyaband|Gaurela-Pendra-Marwahi|Janjgir-Champa|Jashpur|Kabeerdham|Khairagarh-Chhuikhadan-Gandai|Kondagaon|Korba|Korea|Mahasamund|Manendragarh-Chirmiri-Bharatpur(M C B)|Mohla-Manpur-Ambagarh Chouki|Mungeli|Narayanpur|Raigarh|Raipur|Rajnandgaon|Sakti|Sarangarh-Bilaigarh|Sukma|Surajpur|Surguja|Uttar Bastar Kanker,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_CHHATTISGARH_ZAID,Chhattisgarh zaid memory zone,AGROCLIM_CURATED,Chhattisgarh,Balod|Balodabazar-Bhatapara|Balrampur-Ramanujganj|Bastar|Bemetara|Bijapur|Bilaspur|Dakshin Bastar Dantewada|Dhamtari|Durg|Gariyaband|Gaurela-Pendra-Marwahi|Janjgir-Champa|Jashpur|Kabeerdham|Khairagarh-Chhuikhadan-Gandai|Kondagaon|Korba|Korea|Mahasamund|Manendragarh-Chirmiri-Bharatpur(M C B)|Mohla-Manpur-Ambagarh Chouki|Mungeli|Narayanpur|Raigarh|Raipur|Rajnandgaon|Sakti|Sarangarh-Bilaigarh|Sukma|Surajpur|Surguja|Uttar Bastar Kanker,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_DELHI_KHARIF,Delhi kharif memory zone,AGROCLIM_CURATED,Delhi,Central|East|New Delhi|North|North East|North West|Shahdara|South|South East|South West|West,28.4,28.9,76.83,77.35,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_DELHI_RABI,Delhi rabi memory zone,AGROCLIM_CURATED,Delhi,Central|East|New Delhi|North|North East|North West|Shahdara|South|South East|South West|West,28.4,28.9,76.83,77.35,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_DELHI_ZAID,Delhi zaid memory zone,AGROCLIM_CURATED,Delhi,Central|East|New Delhi|North|North East|North West|Shahdara|South|South East|South West|West,28.4,28.9,76.83,77.35,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_GOA_KHARIF,Goa kharif memory zone,AGROCLIM_CURATED,Goa,North Goa|South Goa,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_GOA_RABI,Goa rabi memory zone,AGROCLIM_CURATED,Goa,North Goa|South Goa,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_GOA_ZAID,Goa zaid memory zone,AGROCLIM_CURATED,Goa,North Goa|South Goa,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_GUJARAT_KHARIF,Gujarat kharif memory zone,AGROCLIM_CURATED,Gujarat,Ahmedabad|Amreli|Anand|Arvalli|Banas Kantha|Bharuch|Bhavnagar|Botad|Chhotaudepur|Dahod|Dangs|Devbhumi Dwarka|Gandhinagar|Gir Somnath|Jamnagar|Junagadh|Kachchh|Kheda|Mahesana|Mahisagar|Morbi|Narmada|Navsari|Panch Mahals|Patan|Porbandar|Rajkot|Sabar Kantha|Surat|Surendranagar|Tapi|Vadodara|Valsad,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_GUJARAT_RABI,Gujarat rabi memory zone,AGROCLIM_CURATED,Gujarat,Ahmedabad|Amreli|Anand|Arvalli|Banas Kantha|Bharuch|Bhavnagar|Botad|Chhotaudepur|Dahod|Dangs|Devbhumi Dwarka|Gandhinagar|Gir Somnath|Jamnagar|Junagadh|Kachchh|Kheda|Mahesana|Mahisagar|Morbi|Narmada|Navsari|Panch Mahals|Patan|Porbandar|Rajkot|Sabar Kantha|Surat|Surendranagar|Tapi|Vadodara|Valsad,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_GUJARAT_ZAID,Gujarat zaid memory zone,AGROCLIM_CURATED,Gujarat,Ahmedabad|Amreli|Anand|Arvalli|Banas Kantha|Bharuch|Bhavnagar|Botad|Chhotaudepur|Dahod|Dangs|Devbhumi Dwarka|Gandhinagar|Gir Somnath|Jamnagar|Junagadh|Kachchh|Kheda|Mahesana|Mahisagar|Morbi|Narmada|Navsari|Panch Mahals|Patan|Porbandar|Rajkot|Sabar Kantha|Surat|Surendranagar|Tapi|Vadodara|Valsad,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_HARYANA_KHARIF,Haryana kharif memory zone,AGROCLIM_CURATED,Haryana,Ambala|Bhiwani|Charkhi Dadri|Faridabad|Fatehabad|Gurugram|Hisar|Jhajjar|Jind|Kaithal|Karnal|Kurukshetra|Mahendragarh|Nuh|Palwal|Panchkula|Panipat|Rewari|Rohtak|Sirsa|Sonipat|Yamunanagar,27.6,30.9,74.4,77.6,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_HARYANA_RABI,Haryana rabi memory zone,AGROCLIM_CURATED,Haryana,Ambala|Bhiwani|Charkhi Dadri|Faridabad|Fatehabad|Gurugram|Hisar|Jhajjar|Jind|Kaithal|Karnal|Kurukshetra|Mahendragarh|Nuh|Palwal|Panchkula|Panipat|Rewari|Rohtak|Sirsa|Sonipat|Yamunanagar,27.6,30.9,74.4,77.6,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_HARYANA_ZAID,Haryana zaid memory zone,AGROCLIM_CURATED,Haryana,Ambala|Bhiwani|Charkhi Dadri|Faridabad|Fatehabad|Gurugram|Hisar|Jhajjar|Jind|Kaithal|Karnal|Kurukshetra|Mahendragarh|Nuh|Palwal|Panchkula|Panipat|Rewari|Rohtak|Sirsa|Sonipat|Yamunanagar,27.6,30.9,74.4,77.6,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_HIMACHAL_PRADESH_KHARIF,Himachal Pradesh kharif memory zone,AGROCLIM_CURATED,Himachal Pradesh,Bilaspur|Chamba|Hamirpur|Kangra|Kinnaur|Kullu|Lahaul And Spiti|Mandi|Shimla|Sirmaur|Solan|Una,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_HIMACHAL_PRADESH_RABI,Himachal Pradesh rabi memory zone,AGROCLIM_CURATED,Himachal Pradesh,Bilaspur|Chamba|Hamirpur|Kangra|Kinnaur|Kullu|Lahaul And Spiti|Mandi|Shimla|Sirmaur|Solan|Una,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_HIMACHAL_PRADESH_ZAID,Himachal Pradesh zaid memory zone,AGROCLIM_CURATED,Himachal Pradesh,Bilaspur|Chamba|Hamirpur|Kangra|Kinnaur|Kullu|Lahaul And Spiti|Mandi|Shimla|Sirmaur|Solan|Una,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_JAMMU_AND_KASHMIR_KHARIF,Jammu And Kashmir kharif memory zone,AGROCLIM_CURATED,Jammu And Kashmir,Anantnag|Bandipora|Baramulla|Budgam|Doda|Ganderbal|Jammu|Kathua|Kishtwar|Kulgam|Kupwara|Poonch|Pulwama|Rajouri|Ramban|Reasi|Samba|Shopian|Srinagar|Udhampur,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
